Date,Open,High,Low,Close,Volume,,
25/02/2005,12.92,13.47,12.92,13.295,933743,,
28/02/2005,13.371,13.47,13.118,13.381,683911,,
01/03/2005,13.371,13.794,13.342,13.734,624585,,
02/03/2005,13.607,14.038,13.568,13.822,387289,,
03/03/2005,13.891,13.891,13.45,13.627,362061,,
04/03/2005,13.685,13.968,13.549,13.832,311148,,
07/03/2005,13.832,13.93,13.568,13.637,214363,,
08/03/2005,13.744,13.832,13.47,13.587,212222,,
09/03/2005,13.47,13.48,13.088,13.187,244787,,
10/03/2005,13.187,13.236,12.95,13.029,310841,,
11/03/2005,13.049,13.177,12.99,13.079,189136,,
14/03/2005,12.95,13.276,12.95,13.256,340042,,
15/03/2005,13.421,13.705,13.421,13.666,477499,,
16/03/2005,13.637,13.666,13.529,13.559,376584,,
17/03/2005,13.559,13.724,13.411,13.685,217113,,
18/03/2005,13.734,13.803,13.568,13.568,678099,,
21/03/2005,13.617,13.637,13.391,13.617,156106,,
22/03/2005,13.568,13.666,13.391,13.489,239282,,
23/03/2005,13.509,13.509,13.069,13.118,402119,,
24/03/2005,13.177,13.46,13.079,13.079,307476,,
28/03/2005,13.196,13.276,13.118,13.216,255647,,
29/03/2005,13.314,13.47,13.177,13.216,361142,,
30/03/2005,13.216,13.391,13.079,13.246,238522,,
31/03/2005,13.148,13.148,12.881,13.079,386983,,
01/04/2005,13.079,13.079,12.577,12.722,351203,,
04/04/2005,12.821,12.841,12.098,12.702,461749,,
05/04/2005,12.693,12.722,12.507,12.684,465571,,
06/04/2005,12.742,12.89,12.684,12.712,275368,,
07/04/2005,12.762,12.821,12.362,12.42,236376,,
08/04/2005,12.537,12.537,12.018,12.098,582690,,
11/04/2005,12.098,12.47,12.098,12.283,381478,,
12/04/2005,12.313,12.43,12.058,12.332,568626,,
13/04/2005,12.332,12.332,11.998,12.048,694612,,
14/04/2005,12.098,12.205,11.586,11.596,906987,,
15/04/2005,11.675,11.87,11.507,11.616,668465,,
18/04/2005,11.626,11.685,11.372,11.576,583302,,
19/04/2005,11.645,11.929,11.596,11.9,880380,,
20/04/2005,12.137,12.137,11.88,11.9,656846,,
21/04/2005,12.068,12.068,11.822,11.969,323227,,
22/04/2005,11.978,11.978,11.449,11.507,314663,,
25/04/2005,11.645,11.919,11.606,11.87,484379,,
26/04/2005,11.84,12.038,11.802,11.959,739870,,
27/04/2005,11.959,12.617,11.84,12.44,1000251,,
28/04/2005,13.861,14.657,13.539,14.256,1769631,,
29/04/2005,14.354,14.548,13.998,14.362,989855,,
02/05/2005,14.392,14.873,14.315,14.783,839097,,
03/05/2005,14.783,14.813,14.508,14.647,440497,,
04/05/2005,14.657,14.922,14.607,14.883,556241,,
05/05/2005,14.883,14.982,14.707,14.922,434992,,
06/05/2005,15.021,15.286,14.982,15.08,415573,,
09/05/2005,15.021,15.207,14.783,15.177,218030,,
10/05/2005,15.207,15.207,14.392,14.518,683451,,
11/05/2005,14.627,14.763,14.392,14.647,464504,,
12/05/2005,14.528,14.647,14.236,14.325,339432,,
13/05/2005,14.392,14.667,14.157,14.471,229343,,
16/05/2005,14.508,14.707,14.382,14.697,308701,,
17/05/2005,14.735,14.754,14.471,14.726,222617,,
18/05/2005,14.843,15.305,14.745,15.147,323074,,
19/05/2005,15.147,15.217,14.912,15.177,294326,,
20/05/2005,15.197,15.197,14.783,14.952,183169,,
23/05/2005,14.942,15.031,14.783,14.912,213290,,
24/05/2005,15.011,15.07,14.745,15.041,317110,,
25/05/2005,14.982,15.061,14.647,14.697,223386,,
26/05/2005,14.813,14.982,14.783,14.823,239746,,
27/05/2005,14.735,15.011,14.637,14.912,140666,,
31/05/2005,14.922,15.09,14.783,14.783,675960,,
01/06/2005,14.843,15.207,14.813,15.138,312522,,
02/06/2005,15.147,15.374,15.108,15.177,371998,,
03/06/2005,15.197,15.325,15.08,15.286,265277,,
06/06/2005,15.257,15.489,15.257,15.489,241885,,
07/06/2005,15.499,15.813,15.47,15.646,411294,,
08/06/2005,15.725,15.794,15.305,15.374,170479,,
09/06/2005,15.305,15.715,15.305,15.489,122317,,
10/06/2005,15.549,15.568,15.315,15.315,167573,,
13/06/2005,15.325,15.735,15.237,15.725,176750,,
14/06/2005,15.725,15.863,15.617,15.863,189744,,
15/06/2005,15.764,15.883,15.725,15.883,243718,,
16/06/2005,15.843,16.315,15.754,16.219,391876,,
17/06/2005,16.315,16.315,15.923,15.923,457314,,
20/06/2005,15.933,16.18,15.933,16.002,276441,,
21/06/2005,16.022,16.042,15.774,15.893,102289,,
22/06/2005,15.942,16.259,15.942,16.2,503032,,
23/06/2005,16.12,16.344,15.903,15.903,316344,,
24/06/2005,15.873,15.913,15.08,15.237,380254,,
27/06/2005,15.276,15.617,15.138,15.549,454566,,
28/06/2005,15.587,15.823,15.587,15.705,290656,,
29/06/2005,15.725,16.17,15.626,16.14,437438,,
30/06/2005,16.2,16.539,16.14,16.277,324909,,
01/07/2005,16.315,16.412,16.219,16.412,186074,,
05/07/2005,16.325,16.805,16.229,16.805,258092,,
06/07/2005,16.805,16.805,15.992,16.042,271853,,
07/07/2005,15.962,16.071,15.715,15.893,197696,,
08/07/2005,15.962,16.51,15.843,16.412,191428,,
11/07/2005,16.354,16.824,16.268,16.648,192496,,
12/07/2005,16.648,16.824,16.432,16.452,209468,,
13/07/2005,16.472,16.569,16.354,16.48,110241,,
14/07/2005,16.51,16.559,16.042,16.12,137455,,
15/07/2005,16.12,16.239,15.962,16.14,220939,,
18/07/2005,16.14,16.14,15.863,15.982,151981,,
19/07/2005,16.032,16.297,15.982,16.268,120180,,
20/07/2005,16.17,16.287,15.942,16.239,235616,,
21/07/2005,16.239,16.239,15.823,15.913,244177,,
22/07/2005,15.923,16.042,15.685,16.022,243258,,
25/07/2005,16.022,16.022,15.666,15.666,163908,,
26/07/2005,15.685,15.685,15.305,15.335,360839,,
27/07/2005,15.364,15.364,14.942,15.276,461290,,
28/07/2005,16.022,16.219,15.794,16.081,960041,,
29/07/2005,16.022,16.239,15.962,16.052,546457,,
